                  ,                                                                                                   ,     ,         ,                                        ,         , 2026 Update    ,        , 0.03
                  ,                                                                                                   ,     ,         ,                                        ,         , Revised Pricing,        , 
                  ,                                                                                                   ,     ,         ,                                        ,         , Install        , Remove , Transfer
ANC-H             , "Anchor Assembly (Hand installed anchor, rod, and eye)"                                           , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 814.28         , 29.45  , 0
ANC-M             , "Anchor Assembly (Machine installed anchor, rod, and eye)"                                        , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 224.06         , 29.46  , 0
ARM-DW            , Double Wood Crossarm (any size)                                                                   , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 330.24         , 75.94  , 183.98
ARM-SF            , Single Fiberglass Crossarm (any size)                                                             , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 361.05         , 63.68  , 160.04
ARM-SW            , Single Wood Crossarm (any size)                                                                   , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 361.05         , 63.68  , 160.04
ARR               , Arrestor                                                                                          , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 68.72          , 29.46  , 91.63
BKT               , "Equipment bracket (any size, material)"                                                          , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 32.67          , 17.89  , 39.67
CAP-BANK          , "Cap bank (fixed or switched, any size, any voltage)"                                             , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 683.78         , 250.25 , 229.82
CNC-AUTO          , Automatic sleeve (any size)                                                                       , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 35.55          , 6.28   , 0
CNC-HTA           , Compression connector H-Tap Assembly                                                              , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 9.86           , 6.28   , 2.36
CNC-LUG           , "Lugs (two hole pad, crimp on wire)"                                                              , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 38.58          , 10.49  , 9.4
CNC-NTS           , Non tension splice (end to end)                                                                   , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 20.9           , 3.8    , 0
CND-HLS           , Hot line stirrup (any size)                                                                       , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 28.43          , 6.36   , 21.95
CNW               , "Wedge connector (bolted or shoot on, any size)"                                                  , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 12.86          , 9.62   , 22.84
CO                , "Cutout (any size, any voltage)"                                                                  , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 64.29          , 27.32  , 82.92
CON-PRI-L         , Large primary wire (greater than 556)                                                             , FT  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 3.07           , 1.08   , 0
CON-PRI-M         , Medium primary cable ( greater than 4/0 up to and including 556)                                  , FT  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 2.94           , 1.01   , 0
CON-PRI-S         , Small primary wire (4/0 and below)                                                                , FT  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 2.41           , 0.96   , 0
CON-SEC-S         , Small secondary cable (4/0 and smaller)                                                           , FT  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0.74           , 0.64   , 105.55
CPD-SBA           , "CPD,Switch Bank Assby"                                                                           , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 409.05         , 261.8  , 0
DEC               , "DE clamps,DE automatics (retire only), side angle shoes"                                         , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 294.84         , 98     , 74.82
DEG               , DE grips (any size)                                                                               , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 294.84         , 98     , 74.82
EQL-1PH-X         , "EQL, 1PH Transformer Equip Lead"                                                                 , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 229.69         , 119.48 , 350.2
EQL-3PH-X         , "EQL, 3PH Transformer Equip Lead"                                                                 , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 690.1          , 350.2  , 1030
GND               , "GND, one ground rod, clamp, and wire"                                                            , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 114.06         , 62.24  , 0
GOAB-HS           , "GOAB, hook stick (any size, conductor configuration)"                                            , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 1060.42        , 677.39 , 1646.03
GOAB-OR           , "GOAB, operating rod (any size, conductor configuration)"                                         , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 631.58         , 341.66 , 981.73
GYF               , "Guy fitting (eyeplate, && hardware)"                                                             , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 81.73          , 36.65  , 63.36
INS-PIN           , "Pin insulator (any size, any voltage)"                                                           , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 97             , 32.01  , 22.91
LB                , Light bracket (any size)                                                                          , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 52.58          , 38.14  , 121.93
LT                , "Light head (teardrop, open, post top, or flood)"                                                 , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 79.05          , 55.98  , 132.68
LTP               , "Light pole (any size, any material)"                                                             , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 895.61         , 283.43 , 0
PIN               , "Insulator pin (any size, any voltage)"                                                           , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 97             , 32.01  , 15.81
PLD-SFL           , "PLD,Setting Foam Large"                                                                          , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 51.13          , 0      , 0
